Idade,Faixa idade,Gênero,UF,Nível de Ensino,Área de Formação,Situação atual de trabalho,Setor,Número de Funcionários,Gestor?,Cargo como Gestor,Cargo Atual,Senioridade,Faixa salarial,Experiência na área de dados,Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?,Forma de trabalho,Forma de trabalho ideal,Qual o número aproximado de pessoas que atuam com dados na sua empresa hoje,Atuaçao,Quais das fontes de dados listadas você já analisou ou processou no trabalho,Dados relacionais,Dados em bancos NoSQL,Imagens,Textos/Documentos,Vídeos,Áudios,Planilhas,Dados georeferenciados,"Entre as fontes de dados listadas, quais você utiliza na maior parte do tempo?",Dados relacionais,Dados em bancos NoSQL,Imagens,Textos/Documentos,Vídeos,Áudios,Planilhas,Dados georeferenciados,Quais das linguagens listadas abaixo você utiliza no trabalho?,SQL,R,Python,C/C++/C#,.NET,Java,Julia,SAS/Stata,Visual Basic/VBA,Scala,Matlab,PHP,Javascript,Não utilizo nenhuma linguagem,"Entre as linguagens listadas abaixo, qual é a que você mais utiliza no trabalho?",SQL,R,Python,C/C++/C#,.NET,Java,Julia,SAS/Stata,Visual Basic/VBA,Scala,Matlab,PHP,Javascript,Não utilizo nenhuma linguagem,Quais dos bancos de dados/fontes de dados listados abaixo você utiliza no trabalho?,MySQL,Oracle,SQL SERVER,SAP,Amazon Aurora ou RDS,Amazon DynamoDB,CoachDB,Cassandra,MongoDB,MariaDB,Datomic,S3,PostgreSQL,ElasticSearch,DB2,Microsoft Access,SQLite,Sybase,Firebase,Vertica,Redis,Neo4J,Google BigQuery,Google Firestore,Amazon Redshift,Amazon Athena,Snowflake,Databricks,HBase,Presto,Splunk,SAP HANA,Hive,Firebird,Quais das opções de Cloud listadas abaixo você utiliza no trabalho?,AWS,Google Cloud,Azure,Oracle Cloud,IBM,Servidores On Premise/Não utilizamos Cloud,Cloud Própria
40,40-44,Masculino,PR,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Outro,de 11 a 50,1,"Sócio ou C-level (CEO, CDO, CIO, CTO etc)",,,de R$ 20.001/mês a R$ 25.000/mês,de 4 a 5 anos,Mais de 10 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),1 - 3,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,25-29,Masculino,SP,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Tecnologia/Fábrica de Software,de 51 a 100,1,Supervisor/Coordenador,,,de R$ 4.001/mês a R$ 6.000/mês,de 4 a 5 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),1 - 3,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,25-29,Masculino,MT,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Telecomunicação,de 51 a 100,1,Team Leader/Tech Leader,,,de R$ 3.001/mês a R$ 4.000/mês,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Ainda não temos pessoas atuando com dados na empresa,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,40-44,Masculino,MS,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Construção Civil,de 501 a 1000,1,Supervisor/Coordenador,,,de R$ 8.001/mês a R$ 12.000/mês,Menos de 1 ano,de 6 a 10 anos,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),1 - 3,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,25-29,Masculino,DF,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Setor Alimentício,de 101 a 500,1,Gerente/Head/Diretor/VP,,,de R$ 8.001/mês a R$ 12.000/mês,de 6 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),11 - 20,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,50-54,Masculino,SP,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Serviços,de 1 a 5,1,Team Leader/Tech Leader,,,de R$ 4.001/mês a R$ 6.000/mês,Mais de 10 anos,Mais de 10 anos,Modelo 100% presencial,Modelo 100% remoto,1 - 3,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25-29,Masculino,SP,Estudante de Graduação,Outras Engenharias,Empregado (CLT),Serviços,de 1001 a 3000,1,Supervisor/Coordenador,,,de R$ 6.001/mês a R$ 8.000/mês,de 4 a 5 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido com dias fixos de trabalho presencial,1 - 3,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,35-39,Masculino,SE,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo,Empreendedor ou Empregado (CNPJ),Marketing,de 1 a 5,1,Supervisor/Coordenador,,,de R$ 6.001/mês a R$ 8.000/mês,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Ainda não temos pessoas atuando com dados na empresa,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,35-39,Masculino,DF,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Servidor Público,Setor Público,Acima de 3000,1,Team Leader/Tech Leader,,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,Menos de 1 ano,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),1 - 3,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,25-29,Masculino,GO,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Construção Civil,de 1001 a 3000,1,Supervisor/Coordenador,,,de R$ 6.001/mês a R$ 8.000/mês,de 4 a 5 anos,Menos de 1 ano,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),1 - 3,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,Masculino,SC,Mestrado,Outras Engenharias,Empreendedor ou Empregado (CNPJ),Finanças ou Bancos,de 11 a 50,1,"Sócio ou C-level (CEO, CDO, CIO, CTO etc)",,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),1 - 3,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,30-34,Masculino,SP,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional,Empregado (CLT),Setor Público,Acima de 3000,1,Supervisor/Coordenador,,,de R$ 6.001/mês a R$ 8.000/mês,de 6 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),11 - 20,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,25-29,Masculino,RS,Graduação/Bacharelado,Outras Engenharias,Empreendedor ou Empregado (CNPJ),Marketing,de 11 a 50,1,Gerente/Head/Diretor/VP,,,de R$ 4.001/mês a R$ 6.000/mês,de 2 a 3 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% remoto,Modelo 100% remoto,1 - 3,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,30-34,Feminino,SP,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,de 11 a 50,1,"Sócio ou C-level (CEO, CDO, CIO, CTO etc)",,,Acima de R$ 40.001/mês,Mais de 10 anos,de 4 a 5 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),1 - 3,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,40-44,Masculino,SP,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Agronegócios,de 501 a 1000,1,Gerente/Head/Diretor/VP,,,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,de 6 a 10 anos,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),1 - 3,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,30-34,Feminino,MG,Pós-graduação,Estatística/ Matemática / Matemática Computacional,Empregado (CLT),Área da Saúde,de 101 a 500,1,Supervisor/Coordenador,,,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial,21 - 50,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,30-34,Feminino,MG,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Educação,de 101 a 500,1,Team Leader/Tech Leader,,,de R$ 6.001/mês a R$ 8.000/mês,de 4 a 5 anos,de 2 a 3 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),4 - 10,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,45-49,Masculino,SP,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo,Empregado (CLT),Finanças ou Bancos,Acima de 3000,1,Gerente/Head/Diretor/VP,,,de R$ 25.001/mês a R$ 30.000/mês,de 4 a 5 anos,de 2 a 3 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Acima de 300 pessoas,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,40-44,Masculino,SP,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Agronegócios,de 1001 a 3000,1,Gerente/Head/Diretor/VP,,,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,Mais de 10 anos,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),1 - 3,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,35-39,Masculino,SP,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Outro,de 101 a 500,1,Supervisor/Coordenador,,,de R$ 4.001/mês a R$ 6.000/mês,de 4 a 5 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),4 - 10,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,35-39,Masculino,,Graduação/Bacharelado,Outras,Servidor Público,Setor Público,de 1001 a 3000,1,Supervisor/Coordenador,,,de R$ 30.001/mês a R$ 40.000/mês,de 1 a 2 anos,Mais de 10 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo 100% remoto,21 - 50,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,17-21,Masculino,SP,Mestrado,Estatística/ Matemática / Matemática Computacional,Empregado (CLT),Finanças ou Bancos,Acima de 3000,1,Team Leader/Tech Leader,,,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),101 - 300,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30-34,Masculino,SP,Pós-graduação,Outras Engenharias,Empregado (CLT),Consultoria,de 101 a 500,1,Team Leader/Tech Leader,,,de R$ 8.001/mês a R$ 12.000/mês,de 2 a 3 anos,Menos de 1 ano,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),4 - 10,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,30-34,Masculino,SP,Não tenho graduação formal,,Empregado (CLT),Finanças ou Bancos,Acima de 3000,1,Supervisor/Coordenador,,,de R$ 12.001/mês a R$ 16.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Acima de 300 pessoas,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,30-34,Masculino,PR,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Varejo,Acima de 3000,1,Gerente/Head/Diretor/VP,,,de R$ 20.001/mês a R$ 25.000/mês,Mais de 10 anos,de 2 a 3 anos,Modelo 100% remoto,Modelo 100% remoto,51 - 100,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,30-34,Feminino,SP,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Finanças ou Bancos,de 501 a 1000,1,Team Leader/Tech Leader,,,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),21 - 50,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,30-34,Masculino,PR,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,de 101 a 500,1,Supervisor/Coordenador,,,de R$ 12.001/mês a R$ 16.000/mês,de 2 a 3 anos,Mais de 10 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),11 - 20,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,35-39,Masculino,SP,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Marketing,de 1001 a 3000,1,Gerente/Head/Diretor/VP,,,Acima de R$ 40.001/mês,Não tenho experiência na área de dados,Mais de 10 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo 100% remoto,21 - 50,Gestor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
